	NodeID	Name	Lat	Lon	Versions	Startyear	Endyear	NameAlternatives	Users	Tags
0	154291007	Le Valmy (brasserie)	48.8922925	2.2316407	4	2007	2022	['Le Valmy (brasserie)']	2	4
1	155358148	Garden Wok	48.8024346	2.06115	9	2007	2022	"['Garden Wok', ""L'abbaye""]"	7	8
2	157055737	Yes Sushi	48.7994542	2.0688939	3	2017	2022	['Yes Sushi']	2	4
3	158603712	The Village Terrazza	48.8298353	2.3228662	7	2007	2022	['The Village Terrazza', 'Le Moulin Vert', 'Au Moulin Vert']	6	6
4	161395343	Le Chateaudun	48.7962332	2.1362853	2	2007	2022	['Le Chateaudun']	2	3
5	163711505	Pizzeria Palma d'Oro	48.8949681	2.2229796	2	2007	2022	"[""Palma d'Oro"", ""Pizzeria Palma d'Oro""]"	1	3
6	163727966	Au Poulet Braisé	48.894638	2.2231811	15	2007	2022	['Plancha & Grill', 'Baguettes de Chine', 'Resto chinois', 'Au Poulet Braisé', 'Poulet Braisé']	6	13
7	163735581	Pizzeria Torino	48.8951397	2.2225402	1	2007	2022	['Pizzeria Torino']	1	3
8	163740844	La Terrasse du Parc	48.8949813	2.2221176	4	2007	2022	['La Terrasse du Parc', 'La terrasse du parc (brasserie)']	4	5
9	165749275	Buffalo Grill	48.9004177	2.2243311	4	2007	2022	['Buffalo Grill', 'Buffalo grill']	4	6
10	175539450	Le Severo	48.8319911	2.3245334	7	2007	2022	['Le Severo']	6	7
11	176476540	Le Sancerre	48.896284	2.2250919	4	2007	2022	['Le Sancerre (brasserie)', 'Le Sancerre']	4	4
12	176476541	La Terrasse	48.8965817	2.2241626	4	2007	2022	['La Terrasse (brasserie)', 'La Terrasse', 'La terrasse (brasserie)']	4	2
13	185566287	Food'z	48.8000429	2.0723685	4	2017	2022	"['Délice Pizza', ""Food'z""]"	2	7
14	202446889	Pavillon de l'aéro	48.8053877	2.0744785	4	2008	2022	"[""Pavillon de l'aéro""]"	2	6
15	203123010	Avant Seine	48.8948889	2.2387542	2	2008	2022	['Avant Seine']	1	4
16	204128496	Tusk	48.8907062	2.242646	3	2008	2022	['Tusk', 'Globe Trotter']	3	18
17	205462084	Soleil d'Or	48.8964233	2.2372254	3	2008	2022	"[""Soleil d'Or"", ""Soleil d'or""]"	3	3
18	206152008	Pizza Capri (et sa grotte)	48.807296	2.1314178	6	2008	2022	['Pizza Capri (et sa grotte)']	6	5
19	206152010	Crêperie Saint-Louis	48.8071243	2.1313145	5	2008	2022	['Crêperie Saint-Louis']	5	5
20	206194347	Pizzeria La Saveria	48.7835466	2.1709701	5	2008	2022	['Pizzeria La Saveria']	4	11
21	209013828	Ávila	48.7654703	2.1693597	7	2020	2022	['Ávila']	1	8
22	227450780	Boldère	48.8907277	2.23561	1	2008	2022	['Boldère']	1	3
23	231946585	Pizza Hut	48.8224232	2.2075203	3	2019	2022	['Pizza Hut']	1	6
24	240524542	Brasserie de l'Union	48.8965131	2.2183186	1	2008	2022	"[""Brasserie de l'Union""]"	1	3
25	243456640	Brasserie La Grille de l'Orangerie	48.8006836	2.1201466	2	2008	2022	"[""Brasserie La Grille de l'Orangerie""]"	2	4
26	244497303	Quai 35	48.6173421	2.4772565	3	2008	2022	['Quai 35', 'La Ferme Du Moulin']	3	3
27	247439841	Uno	48.8618492	2.3434997	12	2015	2022	['Uno', 'La Famiglia']	5	13
28	247455916	La Crypte Polska	48.8672925	2.3255509	5	2008	2022	['La Crypte Polska']	4	3
29	247455920	Mystery Cuisine	48.8659	2.337242	7	2008	2022	['Mystery Cuisine', 'Au Trois Oliviers', 'Aux Trois Oliviers']	4	7
30	247455923	Chez Denise	48.8615239	2.3440891	11	2008	2022	['Chez Denis', 'Chez Denise']	6	11
31	247455924	La Robe et le Palais	48.8586437	2.3458501	8	2008	2022	['La Robe et le Palais']	8	5
32	247467738	Macéo	48.8663903	2.3380844	3	2008	2022	['Macéo', 'Maceo']	3	4
33	247696086	Chez Jenny	48.8660027	2.3646613	9	2008	2022	['Chez Jenny']	6	9
34	247696089	Le Petit Marché	48.8573191	2.3660431	6	2008	2022	['Le Petit Marché']	4	6
35	247696090	Café des Musées	48.8580708	2.3643313	7	2012	2022	['Café des Musées']	4	6
36	247696092	Camille	48.8577587	2.360729	7	2008	2022	['Camille']	7	6
37	247696094	Les Enfants Rouges	48.8630297	2.3612527	7	2015	2022	['Les Enfants Rouges']	4	6
38	248493877	L'Encrier	48.8483622	2.3739893	12	2008	2022	"[""L'encrier"", ""L'Encrier""]"	9	12
39	248494308	Le Mumtaz	48.8491606	2.4165683	7	2008	2022	['Le Mumtaz', 'Pizzeria Rio Verde']	5	8
40	250657148	Lémoni Café	48.8648091	2.3411291	5	2008	2022	['Lemoni Café', 'Lémoni Café']	5	6
41	250861677	Rani Mahal	48.8687993	2.3373273	5	2008	2022	['Rani Mahal']	2	3
42	250861679	O'Scia	48.8648222	2.3475072	4	2008	2022	"['Le Loup Blanc', ""O'Scia""]"	3	8
43	250861680	Café Moderne	48.8689038	2.3422059	12	2008	2022	['Café Moderne']	9	9
44	251043133	Holy Ramen	48.8609851	2.3544327	18	2008	2022	['Le Potager du Marais', 'Holy Ramen']	16	7
45	251043137	La Perla	48.8557588	2.3561398	10	2008	2022	['La Perla']	8	12
46	251043139	L'Excuse	48.8533876	2.3620076	5	2008	2022	"[""L'Excuse"", ""l'Excuse""]"	2	2
47	251043140	Les Pinces	48.8575825	2.3562566	9	2008	2022	['Les Pinces', 'Le Passage Obligé', 'La Victoire Suprême du Coeur']	8	7
48	251047644	Chez Marianne	48.8577181	2.3586116	5	2008	2022	['Chez Marianne']	4	7
49	251047682	Terrasse Sainte-Catherine	48.85559	2.3628253	9	2008	2022	['Pitchi Poï', 'Terrasse Sainte-Catherine', 'La Cervasse Sainte-Catherine']	5	3
50	251125928	Le Lutétia Île Saint-Louis	48.8532987	2.3540953	8	2018	2022	['Le Lutétia Île Saint-Louis']	3	7
51	251126260	Au Petit Fer à Cheval	48.8574347	2.3576107	11	2021	2022	['Au Petit Fer à Cheval']	1	9
52	251474107	Jardin des Pâtes	48.8437435	2.3544856	8	2008	2022	['Jardin des Pâtes']	8	11
53	251474108	La Tour d'Argent	48.84983	2.3549148	8	2008	2022	"[""La Tour d'Argent""]"	8	11
54	251474109	Ambiance De L'Inde	48.8449407	2.3486924	5	2008	2022	"[""Ambiance De L'Inde""]"	5	9
55	251652822	Desi Road	48.8556694	2.3399888	4	2008	2022	['Yugaraj', 'Desi Road']	3	3
56	251670428	Metou	48.8493501	2.3391528	5	2008	2022	['La Bastide Odéon', 'La Bastide Odeon', 'Metou']	5	10
57	251670430	Silencio des Prés	48.8546811	2.3332029	7	2008	2022	['Le Petit Zinc', 'Silencio des Prés']	4	5
58	251671404	Polidor	48.8498182	2.3401339	12	2008	2022	['Polidor']	8	9
59	251691150	La Grivoiserie	48.8441789	2.3299201	6	2008	2022	['La Grivoiserie', 'Le Timbre']	5	5
60	251691155	Le Trait D'Union	48.8468341	2.3265156	5	2008	2022	"[""Le Trait D'Union""]"	5	5
61	251758250	Qasim	48.8710439	2.3094204	4	2008	2022	['Qasim', 'Restaurant Indien Qasim']	3	4
62	251758251	Diep	48.8695157	2.3030346	4	2008	2022	['Diep']	3	3
63	251851354	Hanoï Cà Phê	48.8714582	2.3357136	5	2008	2022	['Pizza Marzano', 'Hanoï Cà Phê']	5	9
64	251851356	Bouillon Chartier	48.8719475	2.3430256	17	2008	2022	['Bouillon Chartier', 'Chartier', 'CHARTIER']	13	17
65	251851364	Le Café Zéphyr	48.8718728	2.3418493	11	2008	2022	['Le Café Zéphyr']	11	6
66	251851388	Julien	48.8705409	2.3532213	15	2008	2022	['Bouillon Julieb', 'Julien', 'Bouillon Julien']	11	14
67	251851390	Le Royal Est	48.8755326	2.3590614	10	2008	2022	['Le royal est', 'Le Royal Est', 'La Vigne Saint Laurent', 'La Vigne Saint-Laurent']	9	4
68	251851391	Bouillon Chartier	48.8759276	2.3587225	11	2008	2022	['Restaurant La Strasbourgeoise', 'Batifol', 'Bouillon Chartier', 'La Strasbourgeoise']	10	4
69	252214032	Clown-Bar	48.8636232	2.3671745	13	2008	2022	['Clown Bar', 'Clown-Bar']	9	16
